Trajectory for B2g states:
State             eta               Uncorr_Re         Uncorr_Im         
2                 0.00600000        -78.26998321      -0.39265068       
3                 0.00600000        -78.23748572      -0.01087463       
4                 0.00600000        -78.19278187      -0.19958613       
5                 0.00600000        -78.17637457      -0.06880051       
1                 0.00620000        -78.29339990      -0.04269279       
2                 0.00620000        -78.26993105      -0.40599328       
3                 0.00620000        -78.23728069      -0.01092875       
4                 0.00620000        -78.19272190      -0.20728503       
5                 0.00620000        -78.17671172      -0.07017951       
1                 0.00640000        -78.29338102      -0.04399656       
2                 0.00640000        -78.26988290      -0.41932999       
3                 0.00640000        -78.23707945      -0.01097944       
4                 0.00640000        -78.19267289      -0.21494016       
5                 0.00640000        -78.17702900      -0.07160996       
1                 0.00660000        -78.29336314      -0.04530186       
2                 0.00660000        -78.26983838      -0.43266124       
3                 0.00660000        -78.23688230      -0.01102667       
4                 0.00660000        -78.19263259      -0.22255665       
5                 0.00660000        -78.17732886      -0.07308646       
1                 0.00680000        -78.29334616      -0.04660857       
2                 0.00680000        -78.26979713      -0.44598741       
3                 0.00680000        -78.23668951      -0.01107047       
4                 0.00680000        -78.19259926      -0.23013884       
5                 0.00680000        -78.17761320      -0.07460433       
1                 0.00700000        -78.29333000      -0.04791660       
2                 0.00700000        -78.26975886      -0.45930884       
3                 0.00700000        -78.23650130      -0.01111096       
4                 0.00700000        -78.19257156      -0.23769044       
5                 0.00700000        -78.17788354      -0.07615954       
1                 0.00720000        -78.29331456      -0.04922586       
2                 0.00720000        -78.26972329      -0.47262586       
3                 0.00720000        -78.23631788      -0.01114826       
4                 0.00720000        -78.19254845      -0.24521464       
5                 0.00720000        -78.17814108      -0.07774852       
1                 0.00740000        -78.29329979      -0.05053625       
2                 0.00740000        -78.26969020      -0.48593875       
3                 0.00740000        -78.23613939      -0.01118257       
4                 0.00740000        -78.19252909      -0.25271416       
5                 0.00740000        -78.17838681      -0.07936815       
1                 0.00760000        -78.29328561      -0.05184772       
2                 0.00760000        -78.26965935      -0.49924779       
3                 0.00760000        -78.23596595      -0.01121408       
4                 0.00760000        -78.19251282      -0.26019139       
5                 0.00760000        -78.17862154      -0.08101565       
1                 0.00780000        -78.29327197      -0.05316018       
2                 0.00780000        -78.26963055      -0.51255321       
3                 0.00780000        -78.23579765      -0.01124304       
4                 0.00780000        -78.19249912      -0.26764841       
5                 0.00780000        -78.17884598      -0.08268855       
1                 0.00800000        -78.29325882      -0.05447357       
2                 0.00800000        -78.26960364      -0.52585524       
3                 0.00800000        -78.23563453      -0.01126966       
4                 0.00800000        -78.19248755      -0.27508703       
5                 0.00800000        -78.17906073      -0.08438464       
1                 0.00820000        -78.29324611      -0.05578782       
2                 0.00820000        -78.26957846      -0.53915410       
3                 0.00820000        -78.23547662      -0.01129420       
4                 0.00820000        -78.19247776      -0.28250886       
5                 0.00820000        -78.17926631      -0.08610191       
1                 0.00840000        -78.29323380      -0.05710289       
2                 0.00840000        -78.26955486      -0.55244997       
3                 0.00840000        -78.23532391      -0.01131691       
4                 0.00840000        -78.19246948      -0.28991532       
5                 0.00840000        -78.17946322      -0.08783857       
1                 0.00860000        -78.29322186      -0.05841872       
2                 0.00860000        -78.26953272      -0.56574302       
3                 0.00860000        -78.23517635      -0.01133801       
4                 0.00860000        -78.19246245      -0.29730765       
5                 0.00860000        -78.17965188      -0.08959301       
1                 0.00880000        -78.29321024      -0.05973525       
2                 0.00880000        -78.26951192      -0.57903342       
3                 0.00880000        -78.23503390      -0.01135774       
4                 0.00880000        -78.19245650      -0.30468699       
5                 0.00880000        -78.17983270      -0.09136375       
1                 0.00900000        -78.29319892      -0.06105245       
2                 0.00900000        -78.26949236      -0.59232133       
3                 0.00900000        -78.23489648      -0.01137633       
4                 0.00900000        -78.19245145      -0.31205434       
5                 0.00900000        -78.18000605      -0.09314947       
1                 0.00920000        -78.29318788      -0.06237027       
2                 0.00920000        -78.26947395      -0.60560687       
3                 0.00920000        -78.23476398      -0.01139398       
4                 0.00920000        -78.19244718      -0.31941060       
5                 0.00920000        -78.18017227      -0.09494894       
1                 0.00940000        -78.29317708      -0.06368868       
2                 0.00940000        -78.26945660      -0.61889019       
3                 0.00940000        -78.23463631      -0.01141090       
4                 0.00940000        -78.19244356      -0.32675658       
5                 0.00940000        -78.18033171      -0.09676106       
1                 0.00960000        -78.29316650      -0.06500763       
2                 0.00960000        -78.26944023      -0.63217141       
3                 0.00960000        -78.23451335      -0.01142728       
4                 0.00960000        -78.19244051      -0.33409301       
5                 0.00960000        -78.18048467      -0.09858485       
1                 0.00980000        -78.29315613      -0.06632709       
2                 0.00980000        -78.26942477      -0.64545063       
3                 0.00980000        -78.23439497      -0.01144328       
4                 0.00980000        -78.19243794      -0.34142056       
5                 0.00980000        -78.18063145      -0.10041937       
1                 0.01000000        -78.29314595      -0.06764703       
2                 0.01000000        -78.26941016      -0.65872796       
3                 0.01000000        -78.23428104      -0.01145907       
4                 0.01000000        -78.19243578      -0.34873983       
5                 0.01000000        -78.18077235      -0.10226379       
1                 0.01020000        -78.29313593      -0.06896742       
2                 0.01020000        -78.26939633      -0.67200350       
3                 0.01020000        -78.23417141      -0.01147479       
4                 0.01020000        -78.19243398      -0.35605136       
5                 0.01020000        -78.18090762      -0.10411736       
1                 0.01040000        -78.29312607      -0.07028823       
2                 0.01040000        -78.26938323      -0.68527735       
3                 0.01040000        -78.23406595      -0.01149057       
4                 0.01040000        -78.19243248      -0.36335565       
5                 0.01040000        -78.18103753      -0.10597938       
1                 0.01060000        -78.29311635      -0.07160944       
2                 0.01060000        -78.26937082      -0.69854958       
3                 0.01060000        -78.23396451      -0.01150654       
4                 0.01060000        -78.19243125      -0.37065317       
5                 0.01060000        -78.18116234      -0.10784921       
1                 0.01080000        -78.29310676      -0.07293102       
2                 0.01080000        -78.26935904      -0.71182028       
3                 0.01080000        -78.23386695      -0.01152281       
4                 0.01080000        -78.19243025      -0.37794433       
5                 0.01080000        -78.18128227      -0.10972627       
