Trajectory for A states:
State             eta               Uncorr_Re         Uncorr_Im         
2                 0.01300000        -109.35039696     -2.08900559       
3                 0.01300000        -109.35029409     -1.85283256       
4                 0.01300000        -109.35363778     -1.17325105       
5                 0.01300000        -109.33154123     -0.59001247       
1                 0.01350000        -109.34116488     -2.93173865       
2                 0.01350000        -109.35039696     -2.16935195       
3                 0.01350000        -109.35029409     -1.92409535       
4                 0.01350000        -109.35363778     -1.21837609       
5                 0.01350000        -109.33154126     -0.61269937       
1                 0.01400000        -109.34116486     -3.04032702       
2                 0.01400000        -109.35039696     -2.24969832       
3                 0.01400000        -109.35029409     -1.99535814       
4                 0.01400000        -109.35363778     -1.26350113       
5                 0.01400000        -109.33154128     -0.63538648       
1                 0.01450000        -109.34116484     -3.14891521       
2                 0.01450000        -109.35039696     -2.33004469       
3                 0.01450000        -109.35029409     -2.06662094       
4                 0.01450000        -109.35363778     -1.30862617       
5                 0.01450000        -109.33154130     -0.65807377       
1                 0.01500000        -109.34116482     -3.25750324       
2                 0.01500000        -109.35039696     -2.41039106       
3                 0.01500000        -109.35029409     -2.13788373       
4                 0.01500000        -109.35363778     -1.35375121       
5                 0.01500000        -109.33154132     -0.68076123       
1                 0.01550000        -109.34116481     -3.36609111       
2                 0.01550000        -109.35039696     -2.49073743       
3                 0.01550000        -109.35029409     -2.20914652       
4                 0.01550000        -109.35363778     -1.39887625       
5                 0.01550000        -109.33154133     -0.70344883       
1                 0.01600000        -109.34116479     -3.47467885       
2                 0.01600000        -109.35039696     -2.57108380       
3                 0.01600000        -109.35029409     -2.28040931       
4                 0.01600000        -109.35363778     -1.44400129       
5                 0.01600000        -109.33154135     -0.72613658       
1                 0.01650000        -109.34116478     -3.58326647       
2                 0.01650000        -109.35039696     -2.65143017       
3                 0.01650000        -109.35029409     -2.35167210       
4                 0.01650000        -109.35363778     -1.48912633       
5                 0.01650000        -109.33154136     -0.74882445       
1                 0.01700000        -109.34116477     -3.69185397       
2                 0.01700000        -109.35039696     -2.73177654       
3                 0.01700000        -109.35029409     -2.42293489       
4                 0.01700000        -109.35363778     -1.53425137       
5                 0.01700000        -109.33154137     -0.77151243       
1                 0.01750000        -109.34116476     -3.80044137       
2                 0.01750000        -109.35039696     -2.81212290       
3                 0.01750000        -109.35029409     -2.49419768       
4                 0.01750000        -109.35363778     -1.57937641       
5                 0.01750000        -109.33154138     -0.79420051       
1                 0.01800000        -109.34116475     -3.90902867       
2                 0.01800000        -109.35039696     -2.89246927       
3                 0.01800000        -109.35029409     -2.56546047       
4                 0.01800000        -109.35363778     -1.62450145       
5                 0.01800000        -109.33154139     -0.81688869       
1                 0.01850000        -109.34116474     -4.01761589       
2                 0.01850000        -109.35039696     -2.97281564       
3                 0.01850000        -109.35029409     -2.63672326       
4                 0.01850000        -109.35363778     -1.66962649       
5                 0.01850000        -109.33154140     -0.83957696       
1                 0.01900000        -109.34116473     -4.12620302       
2                 0.01900000        -109.35039696     -3.05316201       
3                 0.01900000        -109.35029409     -2.70798605       
4                 0.01900000        -109.35363778     -1.71475153       
5                 0.01900000        -109.33154141     -0.86226530       
1                 0.01950000        -109.34116472     -4.23479008       
2                 0.01950000        -109.35039696     -3.13350838       
